episode,time_s,robot,role,x,y,yaw
5,0.000000,predator_2,predator,0.54985126,-0.73675454,1.56859215
5,0.010000,predator_1,predator,-0.00016489,-0.73685338,1.56798973
5,0.014000,predator_0,predator,-0.55024094,-0.74664084,1.57105314
5,0.047000,prey_0,prey,0.00038683,0.00993585,1.40520353
5,0.100000,predator_2,predator,0.54984999,-0.73663806,1.56857312
5,0.110000,predator_1,predator,-0.00016605,-0.73674090,1.56796641
5,0.114000,predator_0,predator,-0.55024328,-0.74660800,1.57105292
5,0.147000,prey_0,prey,0.00040064,0.00998396,1.40514230
5,0.200000,predator_2,predator,0.54984891,-0.73652555,1.56855464
5,0.210000,predator_1,predator,-0.00016753,-0.73662895,1.56794346
5,0.214000,predator_0,predator,-0.55024576,-0.74657518,1.57105264
5,0.247000,prey_0,prey,0.00041445,0.01003206,1.40508105
5,0.300000,predator_2,predator,0.54984754,-0.73641358,1.56853700
5,0.310000,predator_1,predator,-0.00016891,-0.73651250,1.56791931
5,0.314000,predator_0,predator,-0.55024810,-0.74654235,1.57105251
5,0.347000,prey_0,prey,0.00042827,0.01008017,1.40501977
5,0.400000,predator_2,predator,0.54984627,-0.73629710,1.56851805
5,0.410000,predator_1,predator,-0.00017006,-0.73640001,1.56789609
5,0.414000,predator_0,predator,-0.55025058,-0.74650953,1.57105222
5,0.447000,prey_0,prey,0.00044209,0.01012828,1.40495847
5,0.500000,predator_2,predator,0.54984520,-0.73618459,1.56849965
5,0.510000,predator_1,predator,-0.00017154,-0.73628806,1.56787325
5,0.514000,predator_0,predator,-0.55025293,-0.74647670,1.57105213
5,0.547000,prey_0,prey,0.00045591,0.01017639,1.40489715
5,0.600000,predator_2,predator,0.54984383,-0.73607262,1.56848209
5,0.610000,predator_1,predator,-0.00017292,-0.73617161,1.56784921
5,0.614000,predator_0,predator,-0.55025540,-0.74644389,1.57105188
5,0.647000,prey_0,prey,0.00046974,0.01022450,1.40483579
5,0.700000,predator_2,predator,0.54984256,-0.73595614,1.56846322
5,0.710000,predator_1,predator,-0.00017407,-0.73605912,1.56782609
5,0.714000,predator_0,predator,-0.55025775,-0.74641105,1.57105182
5,0.747000,prey_0,prey,0.00048357,0.01027261,1.40477442
5,0.800000,predator_2,predator,0.54984149,-0.73584363,1.56844490
5,0.810000,predator_1,predator,-0.00017554,-0.73594718,1.56780335
5,0.814000,predator_0,predator,-0.55026023,-0.74637824,1.57105160
5,0.847000,prey_0,prey,0.00049741,0.01032071,1.40471302
5,0.900000,predator_2,predator,0.54984012,-0.73573166,1.56842741
5,0.910000,predator_1,predator,-0.00017692,-0.73583072,1.56777941
5,0.914000,predator_0,predator,-0.55026257,-0.74634540,1.57105151
5,0.947000,prey_0,prey,0.00051125,0.01036882,1.40465159
5,1.000000,predator_2,predator,0.54983886,-0.73561518,1.56840863
5,1.010000,predator_1,predator,-0.00017806,-0.73571823,1.56775640
5,1.014000,predator_0,predator,-0.55026505,-0.74631259,1.57105136
5,1.047000,prey_0,prey,0.00052510,0.01041693,1.40459014
5,1.100000,predator_2,predator,0.54983779,-0.73550267,1.56839038
5,1.110000,predator_1,predator,-0.00017953,-0.73560629,1.56773376
5,1.114000,predator_0,predator,-0.55026739,-0.74627975,1.57105126
5,1.147000,prey_0,prey,0.00053895,0.01046503,1.40452866
5,1.200000,predator_2,predator,0.54983643,-0.73539070,1.56837298
5,1.210000,predator_1,predator,-0.00018091,-0.73548983,1.56770993
5,1.214000,predator_0,predator,-0.55026987,-0.74624694,1.57105121
5,1.247000,prey_0,prey,0.00055280,0.01051314,1.40446716
5,1.300000,predator_2,predator,0.54983517,-0.73527422,1.56835427
5,1.310000,predator_1,predator,-0.00018205,-0.73537735,1.56768702
5,1.314000,predator_0,predator,-0.55027222,-0.74621411,1.57105123
5,1.347000,prey_0,prey,0.00056666,0.01056125,1.40440564
5,1.400000,predator_2,predator,0.54983410,-0.73516171,1.56833610
5,1.410000,predator_1,predator,-0.00018352,-0.73526540,1.56766448
5,1.414000,predator_0,predator,-0.55027469,-0.74618130,1.57105108
5,1.447000,prey_0,prey,0.00058052,0.01060935,1.40434409
5,1.500000,predator_2,predator,0.54983274,-0.73504974,1.56831877
5,1.510000,predator_1,predator,-0.00018489,-0.73514894,1.56764075
5,1.514000,predator_0,predator,-0.55027704,-0.74614847,1.57105115
5,1.547000,prey_0,prey,0.00059438,0.01065746,1.40428251
5,1.600000,predator_2,predator,0.54983148,-0.73493326,1.56830014
5,1.610000,predator_1,predator,-0.00018602,-0.73503646,1.56761794
5,1.614000,predator_0,predator,-0.55027952,-0.74611565,1.57105106
5,1.647000,prey_0,prey,0.00060825,0.01070557,1.40422091
5,1.700000,predator_2,predator,0.54983042,-0.73482075,1.56828205
5,1.710000,predator_1,predator,-0.00018749,-0.73492451,1.56759551
5,1.714000,predator_0,predator,-0.55028186,-0.74608282,1.57105105
5,1.747000,prey_0,prey,0.00062213,0.01075367,1.40415929
5,1.800000,predator_2,predator,0.54982906,-0.73470878,1.56826480
5,1.810000,predator_1,predator,-0.00018886,-0.73480805,1.56757188
