episode,time_s,robot,role,x,y,yaw
1,0.000000,predator_0,predator,-0.55021920,-0.74637816,1.57074076
1,0.033000,prey_0,prey,0.00229863,0.00873961,1.72183584
1,0.086000,predator_2,predator,0.55230448,-0.74121962,1.72252305
1,0.096000,predator_1,predator,0.00002485,-0.74013198,1.39949132
1,0.100000,predator_0,predator,-0.55022142,-0.74626629,1.57071542
1,0.133000,prey_0,prey,0.00231073,0.00881165,1.72308280
1,0.186000,predator_2,predator,0.55231653,-0.74114757,1.72377027
1,0.196000,predator_1,predator,0.00002295,-0.74014175,1.39955591
1,0.200000,predator_0,predator,-0.55022354,-0.74614991,1.57068873
1,0.233000,prey_0,prey,0.00232273,0.00888370,1.72433008
1,0.286000,predator_2,predator,0.55232847,-0.74107552,1.72501782
1,0.296000,predator_1,predator,0.00002106,-0.74015175,1.39961868
1,0.300000,predator_0,predator,-0.55022544,-0.74603749,1.57066293
1,0.333000,prey_0,prey,0.00233461,0.00895575,1.72557769
1,0.386000,predator_2,predator,0.55234030,-0.74100346,1.72626568
1,0.396000,predator_1,predator,0.00001939,-0.74016129,1.39967878
1,0.400000,predator_0,predator,-0.55022766,-0.74592562,1.57063770
1,0.433000,prey_0,prey,0.00234638,0.00902780,1.72682561
1,0.486000,predator_2,predator,0.55235201,-0.74093139,1.72751388
1,0.496000,predator_1,predator,0.00001750,-0.74017109,1.39974009
1,0.500000,predator_0,predator,-0.55022978,-0.74580924,1.57061113
1,0.533000,prey_0,prey,0.00235804,0.00909986,1.72807386
1,0.586000,predator_2,predator,0.55236361,-0.74085932,1.72876240
1,0.596000,predator_1,predator,0.00001789,-0.74016825,1.39983640
1,0.600000,predator_0,predator,-0.55023168,-0.74569683,1.57058545
1,0.633000,prey_0,prey,0.00236958,0.00917192,1.72932245
1,0.686000,predator_2,predator,0.55237510,-0.74078725,1.73001126
1,0.696000,predator_1,predator,0.00001600,-0.74017824,1.39990079
1,0.700000,predator_0,predator,-0.55023389,-0.74558496,1.57056033
1,0.733000,prey_0,prey,0.00238102,0.00924399,1.73057137
1,0.786000,predator_2,predator,0.55238648,-0.74071517,1.73126045
1,0.796000,predator_1,predator,0.00001433,-0.74018776,1.39996210
1,0.800000,predator_0,predator,-0.55023600,-0.74546857,1.57053388
1,0.833000,prey_0,prey,0.00239234,0.00931607,1.73182063
1,0.886000,predator_2,predator,0.55239775,-0.74064308,1.73250999
