episode,time_s,robot,role,x,y,yaw
6,0.000000,predator_1,predator,0.00004719,-0.74585771,1.57401444
6,0.004000,predator_0,predator,-0.54998290,-0.75068518,1.56958523
6,0.037000,prey_0,prey,-0.00017489,0.01302154,1.56800841
6,0.090000,predator_2,predator,0.54980612,-0.74636019,1.57061650
6,0.100000,predator_1,predator,0.00004522,-0.74582551,1.57400805
6,0.104000,predator_0,predator,-0.54998293,-0.75069482,1.56958818
6,0.137000,prey_0,prey,-0.00017615,0.01313401,1.56798505
6,0.190000,predator_2,predator,0.54980449,-0.74632831,1.57061422
6,0.200000,predator_1,predator,0.00004314,-0.74579333,1.57400203
6,0.204000,predator_0,predator,-0.54998295,-0.75070400,1.56959104
6,0.237000,prey_0,prey,-0.00017774,0.01324593,1.56796213
6,0.290000,predator_2,predator,0.54980284,-0.74629642,1.57061201
6,0.300000,predator_1,predator,0.00004117,-0.74576113,1.57399563
6,0.304000,predator_0,predator,-0.54998298,-0.75071342,1.56959401
6,0.337000,prey_0,prey,-0.00017922,0.01336237,1.56793797
6,0.390000,predator_2,predator,0.54980122,-0.74626453,1.57060971
6,0.400000,predator_1,predator,0.00003910,-0.74572896,1.57398960
6,0.404000,predator_0,predator,-0.54998554,-0.75070029,1.56950044
6,0.437000,prey_0,prey,-0.00018048,0.01347484,1.56791472
6,0.490000,predator_2,predator,0.54979958,-0.74623265,1.57060747
6,0.500000,predator_1,predator,0.00003712,-0.74569677,1.57398328
6,0.504000,predator_0,predator,-0.54998522,-0.75070946,1.56950656
6,0.537000,prey_0,prey,-0.00018207,0.01358676,1.56789190
6,0.590000,predator_2,predator,0.54979793,-0.74620076,1.57060525
6,0.600000,predator_1,predator,0.00003504,-0.74566460,1.57397727
6,0.604000,predator_0,predator,-0.54998525,-0.75071888,1.56950955
6,0.637000,prey_0,prey,-0.00018355,0.01370320,1.56786786
6,0.690000,predator_2,predator,0.54979630,-0.74616887,1.57060300
6,0.700000,predator_1,predator,0.00003308,-0.74563240,1.57397086
