episode,time_s,robot,role,x,y,yaw
2,0.000000,predator_2,predator,0.54980114,-0.74683247,1.57246636
2,0.010000,predator_1,predator,-0.00020933,-0.73678719,1.56812937
2,0.014000,predator_0,predator,-0.55015371,-0.73677462,1.56870525
2,0.047000,prey_0,prey,-0.00019140,0.01324162,1.56810294
2,0.100000,predator_2,predator,0.54979947,-0.74680125,1.57248622
2,0.110000,predator_1,predator,-0.00021087,-0.73667472,1.56810727
2,0.114000,predator_0,predator,-0.55015439,-0.73666210,1.56868753
2,0.147000,prey_0,prey,-0.00019310,0.01335357,1.56808106
2,0.200000,predator_2,predator,0.54979732,-0.74676958,1.57250086
2,0.210000,predator_1,predator,-0.00021272,-0.73656279,1.56808562
2,0.214000,predator_0,predator,-0.55015537,-0.73655012,1.56867047
2,0.247000,prey_0,prey,-0.00019469,0.01347003,1.56805799
2,0.300000,predator_2,predator,0.54979545,-0.74673797,1.57251512
2,0.310000,predator_1,predator,-0.00021447,-0.73644635,1.56806276
2,0.314000,predator_0,predator,-0.55015627,-0.73643363,1.56865216
2,0.347000,prey_0,prey,-0.00019607,0.01358252,1.56803582
2,0.400000,predator_2,predator,0.54979359,-0.74670608,1.57252650
2,0.410000,predator_1,predator,-0.00021601,-0.73633388,1.56804076
2,0.414000,predator_0,predator,-0.55015694,-0.73632110,1.56863451
2,0.447000,prey_0,prey,-0.00019777,0.01369447,1.56801404
2,0.500000,predator_2,predator,0.54979175,-0.74667442,1.57254111
2,0.510000,predator_1,predator,-0.00021786,-0.73622195,1.56801921
2,0.514000,predator_0,predator,-0.55015793,-0.73620912,1.56861753
2,0.547000,prey_0,prey,-0.00019936,0.01381093,1.56799107
2,0.600000,predator_2,predator,0.54978979,-0.74664258,1.57255165
2,0.610000,predator_1,predator,-0.00021961,-0.73610551,1.56799645
2,0.614000,predator_0,predator,-0.55015882,-0.73609263,1.56859930
2,0.647000,prey_0,prey,-0.00020074,0.01392342,1.56796900
2,0.700000,predator_2,predator,0.54978764,-0.74661058,1.57256347
2,0.710000,predator_1,predator,-0.00022114,-0.73599304,1.56797455
2,0.714000,predator_0,predator,-0.55015949,-0.73598011,1.56858173
2,0.747000,prey_0,prey,-0.00020243,0.01403537,1.56794731
2,0.800000,predator_2,predator,0.54978589,-0.74657913,1.57258037
2,0.810000,predator_1,predator,-0.00022299,-0.73588111,1.56795311
2,0.814000,predator_0,predator,-0.55016047,-0.73586813,1.56856483
2,0.847000,prey_0,prey,-0.00020402,0.01415183,1.56792444
2,0.900000,predator_2,predator,0.54978386,-0.74654729,1.57259477
2,0.910000,predator_1,predator,-0.00022473,-0.73576468,1.56793045
2,0.914000,predator_0,predator,-0.55016136,-0.73575163,1.56854668
2,0.947000,prey_0,prey,-0.00020539,0.01426432,1.56790247
2,1.000000,predator_2,predator,0.54978183,-0.74651581,1.57260999
2,1.010000,predator_1,predator,-0.00022626,-0.73565220,1.56790865
2,1.014000,predator_0,predator,-0.55016203,-0.73563911,1.56852918
2,1.047000,prey_0,prey,-0.00020708,0.01437627,1.56788089
2,1.100000,predator_2,predator,0.54978008,-0.74648399,1.57262474
2,1.110000,predator_1,predator,-0.00022811,-0.73554028,1.56788730
2,1.114000,predator_0,predator,-0.55016301,-0.73552713,1.56851236
2,1.147000,prey_0,prey,-0.00020867,0.01449273,1.56785812
2,1.200000,predator_2,predator,0.54977801,-0.74645202,1.57262882
2,1.210000,predator_1,predator,-0.00022985,-0.73542384,1.56786474
2,1.214000,predator_0,predator,-0.55016389,-0.73541063,1.56849429
2,1.247000,prey_0,prey,-0.00021004,0.01460522,1.56783624
2,1.300000,predator_2,predator,0.54977608,-0.74642081,1.57264828
2,1.310000,predator_1,predator,-0.00023138,-0.73531136,1.56784304
2,1.314000,predator_0,predator,-0.55016456,-0.73529811,1.56847687
2,1.347000,prey_0,prey,-0.00021172,0.01471717,1.56781476
2,1.400000,predator_2,predator,0.54977415,-0.74638965,1.57266951
2,1.410000,predator_1,predator,-0.00023322,-0.73519944,1.56782180
2,1.414000,predator_0,predator,-0.55016554,-0.73518613,1.56846012
2,1.447000,prey_0,prey,-0.00021331,0.01483363,1.56779209
2,1.500000,predator_2,predator,0.54977220,-0.74635805,1.57268451
2,1.510000,predator_1,predator,-0.00023496,-0.73508300,1.56779934
2,1.514000,predator_0,predator,-0.55016642,-0.73506964,1.56844213
2,1.547000,prey_0,prey,-0.00021467,0.01494612,1.56777031
2,1.600000,predator_2,predator,0.54977045,-0.74632620,1.57269924
2,1.610000,predator_1,predator,-0.00023648,-0.73497052,1.56777774
2,1.614000,predator_0,predator,-0.55016708,-0.73495711,1.56842479
2,1.647000,prey_0,prey,-0.00021636,0.01505807,1.56774892
2,1.700000,predator_2,predator,0.54976825,-0.74629399,1.57270781
2,1.710000,predator_1,predator,-0.00023832,-0.73485859,1.56775659
2,1.714000,predator_0,predator,-0.55016806,-0.73484513,1.56840812
2,1.747000,prey_0,prey,-0.00021794,0.01517454,1.56772635
2,1.800000,predator_2,predator,0.54976644,-0.74626199,1.57271809
2,1.810000,predator_1,predator,-0.00024006,-0.73474215,1.56773423
2,1.814000,predator_0,predator,-0.55016894,-0.73472864,1.56839020
2,1.847000,prey_0,prey,-0.00021930,0.01528703,1.56770467
2,1.900000,predator_2,predator,0.54976441,-0.74623025,1.57273334
2,1.910000,predator_1,predator,-0.00024158,-0.73462968,1.56771273
2,1.914000,predator_0,predator,-0.55016960,-0.73461611,1.56837294
2,1.947000,prey_0,prey,-0.00022098,0.01539898,1.56768338
2,2.000000,predator_2,predator,0.54976236,-0.74619868,1.57274752
2,2.010000,predator_1,predator,-0.00024342,-0.73451775,1.56769168
2,2.014000,predator_0,predator,-0.55017057,-0.73450413,1.56835634
2,2.047000,prey_0,prey,-0.00022256,0.01551544,1.56766091
2,2.100000,predator_2,predator,0.54976036,-0.74616649,1.57275578
2,2.110000,predator_1,predator,-0.00024515,-0.73440131,1.56766942
2,2.114000,predator_0,predator,-0.55017145,-0.73438763,1.56833851
2,2.147000,prey_0,prey,-0.00022392,0.01562793,1.56763933
2,2.200000,predator_2,predator,0.54975842,-0.74613492,1.57277199
2,2.210000,predator_1,predator,-0.00024667,-0.73428884,1.56764801
2,2.214000,predator_0,predator,-0.55017211,-0.73427511,1.56832132
2,2.247000,prey_0,prey,-0.00022560,0.01573988,1.56761813
2,2.300000,predator_2,predator,0.54975660,-0.74610337,1.57278529
2,2.310000,predator_1,predator,-0.00024850,-0.73417691,1.56762706
2,2.314000,predator_0,predator,-0.55017308,-0.73416313,1.56830480
2,2.347000,prey_0,prey,-0.00022717,0.01585634,1.56759576
2,2.400000,predator_2,predator,0.54975477,-0.74607183,1.57280149
2,2.410000,predator_1,predator,-0.00025023,-0.73406047,1.56760490
2,2.414000,predator_0,predator,-0.55017395,-0.73404663,1.56828704
2,2.447000,prey_0,prey,-0.00022853,0.01596884,1.56757428
2,2.500000,predator_2,predator,0.54975272,-0.74603992,1.57281545
2,2.510000,predator_1,predator,-0.00025175,-0.73394799,1.56758359
2,2.514000,predator_0,predator,-0.55017461,-0.73393411,1.56826993
2,2.547000,prey_0,prey,-0.00023020,0.01608079,1.56755318
2,2.600000,predator_2,predator,0.54975069,-0.74600854,1.57283119
2,2.610000,predator_1,predator,-0.00025358,-0.73383606,1.56756274
2,2.614000,predator_0,predator,-0.55017558,-0.73382212,1.56825348
2,2.647000,prey_0,prey,-0.00023178,0.01619725,1.56753090
