model,policy_rank,policy_file,policy_sha256,training_fitness,episodes,mean_fitness,sample_std_fitness,min_fitness,max_fitness,selected
privileged,1,top_1_policy_privileged_fitness_5.0186.npy,c287575ba77950c165be885e3d17b352e4892f3218a0b8779c9de8ef942790a1,5.0186,10,3.0575595668999997,0.5365058646622732,2.5278325654,3.9437002771,False
privileged,2,top_2_policy_privileged_fitness_4.9744.npy,69eb514981e699b34901b3a4892c43874a3c7bad1764e557c52f2f2f41ac005e,4.9744,10,3.1609929994200003,0.39235991876570825,2.5113846954,3.6022607657,True
privileged,3,top_3_policy_privileged_fitness_4.8448.npy,c69499db7768e8971c350aa5b3536dbe58191cd927126ed95cf4f83005f3e7c4,4.8448,10,2.53656591096,0.2864059580888022,2.2454900443,3.0952658306,False
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,10,2.6674473714899998,0.4665880027854876,2.3545355373,3.7464141082,False
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,10,2.9466823650699996,0.5077682596067024,2.400604826,3.8633260651,False
