model,policy_rank,policy_file,policy_sha256,training_fitness,episode,fitness,completed_at_utc
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,1,2.4052951827,2026-06-24T19:39:35.884615+00:00
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,2,2.3668185173,2026-06-24T19:39:59.985904+00:00
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,3,3.9718104924,2026-06-24T19:40:25.721437+00:00
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,4,2.3718077258,2026-06-24T19:40:50.009726+00:00
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,5,2.1629115418,2026-06-24T19:41:14.256862+00:00
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,6,2.2854310948,2026-06-24T19:41:37.705564+00:00
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,7,2.5246075519,2026-06-24T19:42:02.028873+00:00
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,8,2.2474976426,2026-06-24T19:42:26.171144+00:00
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,9,4.0603341090,2026-06-24T19:42:51.325763+00:00
fpv,4,top_4_policy_fpv_fitness_4.2134.npy,2d1d5e9c437e33d5981c136cc03b2374988457fed24a966d90b59e0653655f20,4.2134,10,2.6006952285,2026-06-24T19:43:15.644329+00:00fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,1,3.4669309993,2026-06-24T19:48:33.623097+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,2,2.1755155430,2026-06-24T19:48:57.227432+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,3,3.9952267316,2026-06-24T19:49:21.923681+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,4,3.3405048831,2026-06-24T19:49:48.168567+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,5,2.2789209140,2026-06-24T19:50:13.356286+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,6,2.2615804608,2026-06-24T19:50:38.582627+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,7,3.1067510685,2026-06-24T19:51:04.130442+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,8,2.3392959372,2026-06-24T19:51:27.994285+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,9,2.2148112616,2026-06-24T19:51:52.419401+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,10,2.8995839497,2026-06-24T19:52:16.386406+00:00
fpv,5,top_5_policy_fpv_fitness_4.1551.npy,c89ee032194e6f1c50d72b54fa73c01cdd027589dd0571ae52668097e5d0b93c,4.1551,1,2.6826397008,2026-06-24T19:54:28.358292+00:00
