model,policy_rank,policy_file,policy_sha256,training_fitness,episode,fitness,completed_at_utc
privileged,3,top_3_policy_privileged_fitness_4.8448.npy,c69499db7768e8971c350aa5b3536dbe58191cd927126ed95cf4f83005f3e7c4,4.8448,7,3.0952658306,2026-06-24T18:23:08.381772+00:00
privileged,3,top_3_policy_privileged_fitness_4.8448.npy,c69499db7768e8971c350aa5b3536dbe58191cd927126ed95cf4f83005f3e7c4,4.8448,8,2.4913526426,2026-06-24T18:23:32.512542+00:00
privileged,3,top_3_policy_privileged_fitness_4.8448.npy,c69499db7768e8971c350aa5b3536dbe58191cd927126ed95cf4f83005f3e7c4,4.8448,9,2.2454900443,2026-06-24T18:23:56.719188+00:00
privileged,3,top_3_policy_privileged_fitness_4.8448.npy,c69499db7768e8971c350aa5b3536dbe58191cd927126ed95cf4f83005f3e7c4,4.8448,10,2.9962097514,2026-06-24T18:24:21.689730+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,1,2.6765427007,2026-06-24T18:24:47.019991+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,2,2.3545355373,2026-06-24T18:25:12.157967+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,3,3.2458470635,2026-06-24T18:25:37.698807+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,4,2.3955487156,2026-06-24T18:26:01.817732+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,5,3.7464141082,2026-06-24T18:26:26.735112+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,6,2.3593557129,2026-06-24T18:26:51.689275+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,7,2.5241092408,2026-06-24T18:27:16.605672+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,8,2.3798657440,2026-06-24T18:27:41.766975+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,9,2.6222779916,2026-06-24T18:28:06.362265+00:00
privileged,4,top_4_policy_privileged_fitness_4.8340.npy,8fa700e82c8714753e020852ac87b228a186169725f1d995fe066526278056eb,4.834,10,2.3699769003,2026-06-24T18:28:31.049918+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,1,2.4006048260,2026-06-24T18:28:55.643766+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,2,3.4880797449,2026-06-24T18:29:20.993704+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,3,2.4792968884,2026-06-24T18:29:45.025327+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,4,2.7275560313,2026-06-24T18:30:09.468617+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,5,2.4687256852,2026-06-24T18:30:33.672331+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,6,3.1150136783,2026-06-24T18:30:59.050791+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,7,2.7479728159,2026-06-24T18:31:23.611312+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,8,3.8633260651,2026-06-24T18:31:48.864893+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,9,2.7098585161,2026-06-24T18:32:13.471419+00:00
privileged,5,top_5_policy_privileged_fitness_4.7825.npy,15c7e4ffb7d94376320c9e73daf75e706f3fe54182c3fc3d4abdacf699924c28,4.7825,10,3.4663893995,2026-06-24T18:32:37.911958+00:00
