model,policy_rank,policy_file,policy_sha256,training_fitness,episode,fitness,completed_at_utc
camera360,3,top_3_policy_camera360_fitness_4.9279.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,4.9279,6,2.4028950941,2026-06-24T18:51:00.380333+00:00
camera360,3,top_3_policy_camera360_fitness_4.9279.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,4.9279,7,3.3109290970,2026-06-24T18:51:25.033827+00:00
camera360,3,top_3_policy_camera360_fitness_4.9279.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,4.9279,8,3.1039567073,2026-06-24T18:51:50.090044+00:00
camera360,3,top_3_policy_camera360_fitness_4.9279.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,4.9279,9,3.8684593044,2026-06-24T18:52:14.399658+00:00
camera360,3,top_3_policy_camera360_fitness_4.9279.npy,40c69c5e88f129c9f42cf834983039d50ea3c27d152e7f7d501a5775e9f90632,4.9279,10,2.6961059165,2026-06-24T18:52:38.414301+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,1,1.8476885051,2026-06-24T18:53:02.923270+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,2,1.7607333063,2026-06-24T18:53:26.777738+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,3,2.1287885377,2026-06-24T18:53:51.003990+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,4,2.0435192633,2026-06-24T18:54:14.933648+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,5,1.8755475960,2026-06-24T18:54:39.031267+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,6,2.0392496138,2026-06-24T18:55:04.033859+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,7,1.8119375682,2026-06-24T18:55:28.708231+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,8,1.7456957786,2026-06-24T18:55:53.883207+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,9,1.8666310057,2026-06-24T18:56:18.080866+00:00
camera360,4,top_4_policy_camera360_fitness_4.8882.npy,772655f66199eeb62c2a317431321867814c2b21c65cb6c0e23d0cea56517c45,4.8882,10,2.2791332536,2026-06-24T18:56:42.037091+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,1,3.7287662990,2026-06-24T18:57:07.458831+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,2,2.7005805002,2026-06-24T18:57:31.986350+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,3,2.8085038029,2026-06-24T18:57:55.940798+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,4,3.1131857648,2026-06-24T18:58:20.305926+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,5,3.4783184047,2026-06-24T18:58:45.236630+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,6,2.7477545376,2026-06-24T18:59:08.743099+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,7,3.1367612274,2026-06-24T18:59:32.636619+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,8,2.5542025084,2026-06-24T18:59:56.963390+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,9,2.8988378606,2026-06-24T19:00:21.047143+00:00
camera360,5,top_5_policy_camera360_fitness_4.7870.npy,d8bfcfc946535002e8fe3231ffe5f0636ecab2f7a4d3a7a80c7fa61a148a1ab8,4.787,10,2.5230060194,2026-06-24T19:00:45.560450+00:00
