optimizer,generation,episode,candidate,fitness,loss,generation_best_fitness,generation_mean_fitness,generation_std_fitness,best_so_far_fitness,sigma
cmaes,0,1,0,1.5524052625527578,-1.5524052625527578,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,2,1,1.5687558245425686,-1.5687558245425686,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,3,2,1.5646101939519554,-1.5646101939519554,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,4,3,1.5690953974377397,-1.5690953974377397,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,5,4,1.6188119370692124,-1.6188119370692124,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,6,5,1.5799708122047598,-1.5799708122047598,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,7,6,1.5675050192963793,-1.5675050192963793,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,8,7,1.574261824386542,-1.574261824386542,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,9,8,1.5625773984092233,-1.5625773984092233,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,10,9,1.5735083295113113,-1.5735083295113113,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,11,10,1.5721917452440501,-1.5721917452440501,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,12,11,1.5399067472662495,-1.5399067472662495,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,0,13,12,1.561911078111426,-1.561911078111426,1.6188119370692124,1.569654736152629,0.017296272181896083,1.6188119370692124,0.4695681816131851
cmaes,1,14,0,1.577031347318621,-1.577031347318621,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,15,1,1.5493996674880501,-1.5493996674880501,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,16,2,1.5408572878444446,-1.5408572878444446,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,17,3,1.5476333176820767,-1.5476333176820767,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,18,4,1.5733861934663265,-1.5733861934663265,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,19,5,1.713508064406284,-1.713508064406284,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,20,6,1.5645995958953829,-1.5645995958953829,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,21,7,1.5699188186577098,-1.5699188186577098,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,22,8,1.560414099673427,-1.560414099673427,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,23,9,1.5408670100673143,-1.5408670100673143,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,24,10,1.5467909196687302,-1.5467909196687302,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,25,11,1.5687357572347365,-1.5687357572347365,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,1,26,12,1.5733278737918517,-1.5733278737918517,1.713508064406284,1.571266919476535,0.04290389120932385,1.713508064406284,0.4618249540923158
cmaes,2,27,0,1.5976326235807552,-1.5976326235807552,1.631727413179975,1.5685285519823478,0.022896306973114226,1.713508064406284,0.4551225382328581
cmaes,2,28,1,1.5530925245002545,-1.5530925245002545,1.631727413179975,1.5685285519823478,0.022896306973114226,1.713508064406284,0.4551225382328581
cmaes,2,29,2,1.5767617447196858,-1.5767617447196858,1.631727413179975,1.5685285519823478,0.022896306973114226,1.713508064406284,0.4551225382328581
cmaes,2,30,3,1.5590476743667878,-1.5590476743667878,1.631727413179975,1.5685285519823478,0.022896306973114226,1.713508064406284,0.4551225382328581
cmaes,2,31,4,1.550398122623592,-1.550398122623592,1.631727413179975,1.5685285519823478,0.022896306973114226,1.713508064406284,0.4551225382328581
cmaes,2,32,5,1.570370206151136,-1.570370206151136,1.631727413179975,1.5685285519823478,0.022896306973114226,1.713508064406284,0.4551225382328581
cmaes,2,33,6,1.5671422388672573,-1.5671422388672573,1.631727413179975,1.5685285519823478,0.022896306973114226,1.713508064406284,0.4551225382328581
