episode,time_s,robot,role,x,y,yaw
1,0.000000,predator_0,predator,-0.55025921,-0.73579494,1.56795790
1,0.042000,predator_2,predator,0.55243319,-0.74042021,1.73638691
1,0.059000,predator_1,predator,0.00243498,-0.74040406,1.73663395
1,0.080000,prey_0,prey,0.00243477,0.00960839,1.73689022
1,0.100000,predator_0,predator,-0.55026122,-0.73567854,1.56793543
1,0.142000,predator_2,predator,0.55244399,-0.74034810,1.73763792
1,0.159000,predator_1,predator,0.00244576,-0.74033193,1.73788519
1,0.180000,prey_0,prey,0.00244552,0.00968049,1.73814129
1,0.200000,predator_0,predator,-0.55026303,-0.73556611,1.56791375
1,0.242000,predator_2,predator,0.55245468,-0.74027598,1.73888930
1,0.259000,predator_1,predator,0.00245644,-0.74025980,1.73913679
1,0.280000,prey_0,prey,0.00245616,0.00975260,1.73939273
1,0.300000,predator_0,predator,-0.55026515,-0.73545423,1.56789265
1,0.342000,predator_2,predator,0.55246526,-0.74020386,1.74014105
1,0.359000,predator_1,predator,0.00246700,-0.74018766,1.74038877
1,0.380000,prey_0,prey,0.00246669,0.00982471,1.74064455
1,0.400000,predator_0,predator,-0.55026716,-0.73533783,1.56787027
1,0.442000,predator_2,predator,0.55247572,-0.74013173,1.74139317
1,0.459000,predator_1,predator,0.00247745,-0.74011551,1.74164112
1,0.480000,prey_0,prey,0.00247711,0.00989682,1.74189674
1,0.500000,predator_0,predator,-0.55026896,-0.73522540,1.56784869
1,0.542000,predator_2,predator,0.55248607,-0.74005960,1.74264567
1,0.559000,predator_1,predator,0.00248779,-0.74004336,1.74289386
1,0.580000,prey_0,prey,0.00248741,0.00996895,1.74314931
1,0.600000,predator_0,predator,-0.55027108,-0.73511351,1.56782768
1,0.642000,predator_2,predator,0.55249631,-0.73998746,1.74389856
1,0.659000,predator_1,predator,0.00249801,-0.73997121,1.74414697
1,0.680000,prey_0,prey,0.00249760,0.01004108,1.74440226
1,0.700000,predator_0,predator,-0.55027309,-0.73499712,1.56780540
1,0.742000,predator_2,predator,0.55250643,-0.73991532,1.74515183
1,0.759000,predator_1,predator,0.00250812,-0.73989904,1.74540048
1,0.780000,prey_0,prey,0.00250767,0.01011321,1.74565561
1,0.800000,predator_0,predator,-0.55027489,-0.73488469,1.56778392
1,0.842000,predator_2,predator,0.55251644,-0.73984317,1.74640550
1,0.859000,predator_1,predator,0.00251812,-0.73982688,1.74665438
1,0.880000,prey_0,prey,0.00251763,0.01018535,1.74690935
1,0.900000,predator_0,predator,-0.55027700,-0.73477280,1.56776300
1,0.942000,predator_2,predator,0.55252633,-0.73977101,1.74765956
1,0.959000,predator_1,predator,0.00252800,-0.73975470,1.74790868
1,0.980000,prey_0,prey,0.00252747,0.01025750,1.74816348
1,1.000000,predator_0,predator,-0.55027901,-0.73465640,1.56774082
1,1.042000,predator_2,predator,0.55253611,-0.73969885,1.74891402
1,1.059000,predator_1,predator,0.00253777,-0.73968253,1.74916338
1,1.080000,prey_0,prey,0.00253721,0.01032965,1.74941802
1,1.100000,predator_0,predator,-0.55028081,-0.73454397,1.56771943
1,1.142000,predator_2,predator,0.55254578,-0.73962668,1.75016889
1,1.159000,predator_1,predator,0.00254742,-0.73961034,1.75041848
1,1.180000,prey_0,prey,0.00254682,0.01040181,1.75067297
1,1.200000,predator_0,predator,-0.55028292,-0.73443208,1.56769861
1,1.242000,predator_2,predator,0.55255533,-0.73955451,1.75142417
1,1.259000,predator_1,predator,0.00255696,-0.73953815,1.75167400
1,1.280000,prey_0,prey,0.00255633,0.01047397,1.75192833
1,1.300000,predator_0,predator,-0.55028492,-0.73431569,1.56767653
1,1.342000,predator_2,predator,0.55256477,-0.73948233,1.75267987
1,1.359000,predator_1,predator,0.00256638,-0.73946596,1.75292993
1,1.380000,prey_0,prey,0.00256572,0.01054614,1.75318411
1,1.400000,predator_0,predator,-0.55028671,-0.73420326,1.56765523
1,1.442000,predator_2,predator,0.55257410,-0.73941015,1.75393598
1,1.459000,predator_1,predator,0.00257569,-0.73939375,1.75418629
1,1.480000,prey_0,prey,0.00257499,0.01061831,1.75444031
1,1.500000,predator_0,predator,-0.55028882,-0.73409137,1.56763451
1,1.542000,predator_2,predator,0.55258331,-0.73933796,1.75519252
1,1.559000,predator_1,predator,0.00258489,-0.73932155,1.75544307
1,1.580000,prey_0,prey,0.00258415,0.01069049,1.75569693
1,1.600000,predator_0,predator,-0.55029082,-0.73397497,1.56761252
1,1.642000,predator_2,predator,0.55259240,-0.73926576,1.75644949
1,1.659000,predator_1,predator,0.00259397,-0.73924934,1.75670027
1,1.680000,prey_0,prey,0.00259320,0.01076268,1.75695398
1,1.700000,predator_0,predator,-0.55029261,-0.73386254,1.56759132
1,1.742000,predator_2,predator,0.55260138,-0.73919356,1.75770689
1,1.759000,predator_1,predator,0.00260294,-0.73917712,1.75795792
1,1.780000,prey_0,prey,0.00260213,0.01083487,1.75821147
1,1.800000,predator_0,predator,-0.55029472,-0.73375065,1.56757069
1,1.842000,predator_2,predator,0.55261025,-0.73912136,1.75896473
1,1.859000,predator_1,predator,0.00261179,-0.73910489,1.75921600
1,1.880000,prey_0,prey,0.00261095,0.01090706,1.75946940
1,1.900000,predator_0,predator,-0.55029672,-0.73363425,1.56754880
1,1.942000,predator_2,predator,0.55261900,-0.73904914,1.76022301
1,1.959000,predator_1,predator,0.00262052,-0.73903267,1.76047453
1,1.980000,prey_0,prey,0.00261965,0.01097926,1.76072777
1,2.000000,predator_0,predator,-0.55029850,-0.73352182,1.56752769
1,2.042000,predator_2,predator,0.55262763,-0.73897693,1.76148174
1,2.059000,predator_1,predator,0.00262914,-0.73896043,1.76173350
