episode,time_s,robot,role,x,y,yaw
8,0.000000,predator_0,predator,-0.55020667,-0.73556644,1.56786496
8,0.042000,predator_2,predator,0.54980470,-0.73560121,1.56776580
8,0.059000,predator_1,predator,-0.00030682,-0.74595529,1.57054042
8,0.080000,prey_0,prey,0.00248183,0.00986633,1.74025125
8,0.100000,predator_0,predator,-0.55020832,-0.73545000,1.56784197
8,0.142000,predator_2,predator,0.54980342,-0.73548872,1.56774368
8,0.159000,predator_1,predator,-0.00030880,-0.74592324,1.57053419
8,0.180000,prey_0,prey,0.00249250,0.00993948,1.74151378
8,0.200000,predator_0,predator,-0.55020974,-0.73533753,1.56781986
8,0.242000,predator_2,predator,0.54980181,-0.73537677,1.56772194
8,0.259000,predator_1,predator,-0.00031082,-0.74589120,1.57052857
8,0.280000,prey_0,prey,0.00250304,0.01001264,1.74277670
8,0.300000,predator_0,predator,-0.55021149,-0.73522560,1.56779818
8,0.342000,predator_2,predator,0.54980031,-0.73526030,1.56769903
8,0.359000,predator_1,predator,-0.00031280,-0.74585914,1.57052232
8,0.380000,prey_0,prey,0.00251347,0.01008581,1.74404000
8,0.400000,predator_0,predator,-0.55021313,-0.73510916,1.56777530
8,0.442000,predator_2,predator,0.54979903,-0.73514781,1.56767701
8,0.459000,predator_1,predator,-0.00031482,-0.74582711,1.57051669
8,0.480000,prey_0,prey,0.00252379,0.01015898,1.74530368
8,0.500000,predator_0,predator,-0.55021455,-0.73499668,1.56775329
8,0.542000,predator_2,predator,0.54979743,-0.73503586,1.56765538
8,0.559000,predator_1,predator,-0.00031680,-0.74579505,1.57051042
8,0.580000,prey_0,prey,0.00253399,0.01023216,1.74656777
8,0.600000,predator_0,predator,-0.55021630,-0.73488475,1.56773172
8,0.642000,predator_2,predator,0.54979592,-0.73491940,1.56763256
8,0.659000,predator_1,predator,-0.00031881,-0.74576302,1.57050477
8,0.680000,prey_0,prey,0.00254408,0.01030534,1.74783225
8,0.700000,predator_0,predator,-0.55021794,-0.73476831,1.56770894
8,0.742000,predator_2,predator,0.54979465,-0.73480690,1.56761065
8,0.759000,predator_1,predator,-0.00032080,-0.74573096,1.57049849
8,0.780000,prey_0,prey,0.00255404,0.01037853,1.74909715
8,0.800000,predator_0,predator,-0.55021936,-0.73465584,1.56768703
8,0.842000,predator_2,predator,0.54979305,-0.73469495,1.56758911
8,0.859000,predator_1,predator,-0.00032281,-0.74569892,1.57049282
8,0.880000,prey_0,prey,0.00256390,0.01045172,1.75036245
8,0.900000,predator_0,predator,-0.55022110,-0.73454390,1.56766556
8,0.942000,predator_2,predator,0.54979155,-0.73457849,1.56756640
8,0.959000,predator_1,predator,-0.00032479,-0.74566687,1.57048652
8,0.980000,prey_0,prey,0.00257363,0.01052492,1.75162818
8,1.000000,predator_0,predator,-0.55022274,-0.73442746,1.56764288
8,1.042000,predator_2,predator,0.54979027,-0.73446599,1.56754459
8,1.059000,predator_1,predator,-0.00032680,-0.74563483,1.57048083
8,1.080000,prey_0,prey,0.00258325,0.01059812,1.75289432
8,1.100000,predator_0,predator,-0.55022416,-0.73431499,1.56762108
8,1.142000,predator_2,predator,0.54978868,-0.73435404,1.56752316
8,1.159000,predator_1,predator,-0.00032878,-0.74560277,1.57047451
8,1.180000,prey_0,prey,0.00259276,0.01067133,1.75416089
8,1.200000,predator_0,predator,-0.55022590,-0.73420305,1.56759971
8,1.242000,predator_2,predator,0.54978718,-0.73423758,1.56750055
8,1.259000,predator_1,predator,-0.00033079,-0.74557074,1.57046880
8,1.280000,prey_0,prey,0.00260215,0.01074454,1.75542789
8,1.300000,predator_0,predator,-0.55022754,-0.73408661,1.56757714
8,1.342000,predator_2,predator,0.54978591,-0.73412508,1.56747884
8,1.359000,predator_1,predator,-0.00033277,-0.74553868,1.57046247
8,1.380000,prey_0,prey,0.00261142,0.01081776,1.75669533
8,1.400000,predator_0,predator,-0.55022896,-0.73397414,1.56755543
8,1.442000,predator_2,predator,0.54978431,-0.73401313,1.56745750
8,1.459000,predator_1,predator,-0.00033477,-0.74550664,1.57045674
8,1.480000,prey_0,prey,0.00262057,0.01089098,1.75796320
8,1.500000,predator_0,predator,-0.55023070,-0.73386221,1.56753416
8,1.542000,predator_2,predator,0.54978282,-0.73389667,1.56743500
8,1.559000,predator_1,predator,-0.00033675,-0.74547458,1.57045039
8,1.580000,prey_0,prey,0.00262961,0.01096421,1.75923152
8,1.600000,predator_0,predator,-0.55023234,-0.73374576,1.56751169
8,1.642000,predator_2,predator,0.54978155,-0.73378417,1.56741339
8,1.659000,predator_1,predator,-0.00033876,-0.74544255,1.57044465
8,1.680000,prey_0,prey,0.00263853,0.01103744,1.76050029
8,1.700000,predator_0,predator,-0.55023375,-0.73363329,1.56749009
8,1.742000,predator_2,predator,0.54977996,-0.73367222,1.56739215
8,1.759000,predator_1,predator,-0.00034074,-0.74541049,1.57043828
8,1.780000,prey_0,prey,0.00264733,0.01111068,1.76176952
8,1.800000,predator_0,predator,-0.55023549,-0.73352135,1.56746892
8,1.842000,predator_2,predator,0.54977847,-0.73355575,1.56736975
8,1.859000,predator_1,predator,-0.00034274,-0.74537845,1.57043252
8,1.880000,prey_0,prey,0.00265602,0.01118392,1.76303920
8,1.900000,predator_0,predator,-0.55023712,-0.73340491,1.56744655
8,1.942000,predator_2,predator,0.54977720,-0.73344326,1.56734824
8,1.959000,predator_1,predator,-0.00034472,-0.74534639,1.57042613
8,1.980000,prey_0,prey,0.00266459,0.01125717,1.76430935
8,2.000000,predator_0,predator,-0.55023854,-0.73329244,1.56742505
