episode,time_s,robot,role,x,y,yaw
9,0.000000,prey_0,prey,-0.00002850,-0.00074642,1.56998206
9,0.020000,predator_0,predator,-0.55013885,-0.74802613,1.57171064
9,0.062000,predator_2,predator,0.54977241,-0.73732579,1.56820347
9,0.079000,predator_1,predator,0.00082027,-0.73688336,1.57597610
9,0.100000,prey_0,prey,-0.00002994,-0.00074924,1.56988495
9,0.120000,predator_0,predator,-0.55014134,-0.74799332,1.57171083
9,0.162000,predator_2,predator,0.54977042,-0.73720940,1.56818007
9,0.179000,predator_1,predator,0.00082031,-0.73689301,1.57597693
9,0.200000,prey_0,prey,-0.00003074,-0.00074210,1.56989473
9,0.220000,predator_0,predator,-0.55014368,-0.74796052,1.57171124
9,0.262000,predator_2,predator,0.54976865,-0.73709699,1.56815748
9,0.279000,predator_1,predator,0.00081924,-0.73687699,1.57587295
9,0.300000,prey_0,prey,-0.00003076,-0.00075191,1.56989752
9,0.320000,predator_0,predator,-0.55014617,-0.74792772,1.57171148
9,0.362000,predator_2,predator,0.54976656,-0.73698511,1.56813548
9,0.379000,predator_1,predator,0.00081699,-0.73684512,1.57588447
9,0.400000,prey_0,prey,-0.00003078,-0.00076131,1.56990037
9,0.420000,predator_0,predator,-0.55014850,-0.74789491,1.57171181
9,0.462000,predator_2,predator,0.54976457,-0.73686873,1.56811218
9,0.479000,predator_1,predator,0.00081302,-0.73681425,1.57588270
9,0.500000,prey_0,prey,-0.00003080,-0.00077032,1.56990321
9,0.520000,predator_0,predator,-0.55015100,-0.74786211,1.57171213
9,0.562000,predator_2,predator,0.54976280,-0.73675631,1.56808969
9,0.579000,predator_1,predator,0.00081356,-0.73682327,1.57588552
9,0.600000,prey_0,prey,-0.00003083,-0.00078013,1.56990596
9,0.620000,predator_0,predator,-0.55015332,-0.74782930,1.57171242
9,0.662000,predator_2,predator,0.54976072,-0.73664444,1.56806779
9,0.679000,predator_1,predator,0.00081360,-0.73683308,1.57588623
9,0.700000,prey_0,prey,-0.00003085,-0.00078955,1.56990882
9,0.720000,predator_0,predator,-0.55015582,-0.74779650,1.57171292
9,0.762000,predator_2,predator,0.54975874,-0.73652806,1.56804459
9,0.779000,predator_1,predator,0.00081364,-0.73684249,1.57588700
9,0.800000,prey_0,prey,-0.00003087,-0.00079856,1.56991167
9,0.820000,predator_0,predator,-0.55015816,-0.74776369,1.57171342
9,0.862000,predator_2,predator,0.54975697,-0.73641564,1.56802219
9,0.879000,predator_1,predator,0.00081367,-0.73685150,1.57588780
9,0.900000,prey_0,prey,-0.00003143,-0.00078547,1.56976793
9,0.920000,predator_0,predator,-0.55016065,-0.74773089,1.57171372
9,0.962000,predator_2,predator,0.54975489,-0.73630376,1.56800039
9,0.979000,predator_1,predator,0.00081371,-0.73686131,1.57588857
9,1.000000,prey_0,prey,-0.00003150,-0.00079508,1.56977046
9,1.020000,predator_0,predator,-0.55016299,-0.74769809,1.57171428
9,1.062000,predator_2,predator,0.54975291,-0.73618738,1.56797729
9,1.079000,predator_1,predator,0.00081375,-0.73687073,1.57588940
9,1.100000,prey_0,prey,-0.00003153,-0.00080423,1.56977322
9,1.120000,predator_0,predator,-0.55016548,-0.74766528,1.57171464
9,1.162000,predator_2,predator,0.54975115,-0.73607496,1.56795500
9,1.179000,predator_1,predator,0.00081379,-0.73687974,1.57589024
9,1.200000,prey_0,prey,-0.00003156,-0.00081364,1.56977609
9,1.220000,predator_0,predator,-0.55016780,-0.74763247,1.57171502
9,1.262000,predator_2,predator,0.54974906,-0.73596309,1.56793329
9,1.279000,predator_1,predator,0.00081383,-0.73688955,1.57589104
9,1.300000,prey_0,prey,-0.00003158,-0.00082327,1.56977896
9,1.320000,predator_0,predator,-0.55017031,-0.74759968,1.57171549
9,1.362000,predator_2,predator,0.54974709,-0.73584670,1.56791029
9,1.379000,predator_1,predator,0.00081169,-0.73688215,1.57579279
9,1.400000,prey_0,prey,-0.00003160,-0.00083244,1.56978174
9,1.420000,predator_0,predator,-0.55017263,-0.74756687,1.57171607
9,1.462000,predator_2,predator,0.54974533,-0.73573428,1.56788810
9,1.479000,predator_1,predator,0.00080943,-0.73685016,1.57579991
9,1.500000,prey_0,prey,-0.00003163,-0.00084185,1.56978463
9,1.520000,predator_0,predator,-0.55017513,-0.74753407,1.57171649
9,1.562000,predator_2,predator,0.54974325,-0.73562241,1.56786649
9,1.579000,predator_1,predator,0.00080773,-0.73682829,1.57580568
9,1.600000,prey_0,prey,-0.00003165,-0.00085149,1.56978751
9,1.620000,predator_0,predator,-0.55017747,-0.74750127,1.57171721
9,1.662000,predator_2,predator,0.54974128,-0.73550602,1.56784359
9,1.679000,predator_1,predator,0.00080788,-0.73683810,1.57580724
9,1.700000,prey_0,prey,-0.00003167,-0.00086067,1.56979031
9,1.720000,predator_0,predator,-0.55017996,-0.74746847,1.57171765
9,1.762000,predator_2,predator,0.54973953,-0.73539361,1.56782149
9,1.779000,predator_1,predator,0.00080792,-0.73684751,1.57580801
9,1.800000,prey_0,prey,-0.00003170,-0.00087009,1.56979320
9,1.820000,predator_0,predator,-0.55018230,-0.74743567,1.57171831
9,1.862000,predator_2,predator,0.54973745,-0.73528173,1.56779998
9,1.879000,predator_1,predator,0.00080795,-0.73685651,1.57580882
9,1.900000,prey_0,prey,-0.00003172,-0.00087973,1.56979609
9,1.920000,predator_0,predator,-0.55018479,-0.74740286,1.57171880
9,1.962000,predator_2,predator,0.54973548,-0.73516534,1.56777718
9,1.979000,predator_1,predator,0.00080799,-0.73686633,1.57580960
9,2.000000,prey_0,prey,-0.00003231,-0.00086625,1.56965546
9,2.020000,predator_0,predator,-0.55018712,-0.74737006,1.57171935
9,2.062000,predator_2,predator,0.54973373,-0.73505293,1.56775518
9,2.079000,predator_1,predator,0.00080803,-0.73687574,1.57581044
9,2.100000,prey_0,prey,-0.00003236,-0.00087582,1.56965823
9,2.120000,predator_0,predator,-0.55018962,-0.74733726,1.57171995
9,2.162000,predator_2,predator,0.54973166,-0.73494105,1.56773377
9,2.179000,predator_1,predator,0.00080807,-0.73688475,1.57581130
9,2.200000,prey_0,prey,-0.00003238,-0.00088553,1.56966105
9,2.220000,predator_0,predator,-0.55019194,-0.74730445,1.57172046
9,2.262000,predator_2,predator,0.54972969,-0.73482466,1.56771106
9,2.279000,predator_1,predator,0.00080810,-0.73689457,1.57581212
9,2.300000,prey_0,prey,-0.00003241,-0.00089442,1.56966395
9,2.320000,predator_0,predator,-0.55019436,-0.74727198,1.57172611
9,2.362000,predator_2,predator,0.54972794,-0.73471225,1.56768916
9,2.379000,predator_1,predator,0.00080814,-0.73690398,1.57581299
9,2.400000,prey_0,prey,-0.00002797,0.00124501,1.56989572
9,2.420000,predator_0,predator,-0.55019669,-0.74723918,1.57172659
9,2.462000,predator_2,predator,0.54972587,-0.73460037,1.56766784
9,2.479000,predator_1,predator,0.00080595,-0.73689495,1.57571551
9,2.500000,prey_0,prey,-0.00001693,0.01146298,1.57034738
9,2.520000,predator_0,predator,-0.55019897,-0.74720682,1.57173019
9,2.562000,predator_2,predator,0.54972391,-0.73448398,1.56764524
9,2.579000,predator_1,predator,0.00080378,-0.73686326,1.57572912
9,2.600000,prey_0,prey,-0.00001322,0.02136339,1.57054924
9,2.620000,predator_0,predator,-0.55020044,-0.74720563,1.57172966
9,2.662000,predator_2,predator,0.54972216,-0.73437156,1.56762343
9,2.679000,predator_1,predator,0.00080207,-0.73684119,1.57571534
9,2.700000,prey_0,prey,-0.00001158,0.03126382,1.57076709
9,2.720000,predator_0,predator,-0.55020044,-0.74721505,1.57173187
9,2.762000,predator_2,predator,0.54972009,-0.73425969,1.56760221
9,2.779000,predator_1,predator,0.00080224,-0.73685019,1.57571714
9,2.800000,prey_0,prey,-0.00001204,0.04116470,1.57098068
9,2.820000,predator_0,predator,-0.55020045,-0.74722468,1.57173407
9,2.862000,predator_2,predator,0.54971814,-0.73414330,1.56757970
