episode,time_s,robot,role,x,y,yaw
4,0.000000,prey_0,prey,-0.00021182,0.00343043,1.57253392
4,0.029000,predator_0,predator,-0.55017504,-0.74633358,1.56977829
4,0.029000,predator_1,predator,-0.00027420,-0.73702385,1.56773605
4,0.074000,predator_2,predator,0.54975877,-0.74579502,1.57010970
4,0.100000,prey_0,prey,-0.00021383,0.00346181,1.57255198
4,0.129000,predator_0,predator,-0.55017681,-0.74630165,1.56977114
4,0.129000,predator_1,predator,-0.00027611,-0.73691194,1.56771466
4,0.174000,predator_2,predator,0.54975697,-0.74576302,1.57010578
4,0.200000,prey_0,prey,-0.00021591,0.00349311,1.57257026
4,0.229000,predator_0,predator,-0.55017849,-0.74626972,1.56976365
4,0.229000,predator_1,predator,-0.00027791,-0.73679553,1.56769204
4,0.274000,predator_2,predator,0.54975520,-0.74573106,1.57010230
4,0.300000,prey_0,prey,-0.00021770,0.00352451,1.57258740
4,0.329000,predator_0,predator,-0.55018026,-0.74623779,1.56975659
4,0.329000,predator_1,predator,-0.00027949,-0.73668308,1.56767025
4,0.374000,predator_2,predator,0.54975337,-0.74569909,1.57009897
4,0.400000,prey_0,prey,-0.00021972,0.00355589,1.57260547
4,0.429000,predator_0,predator,-0.55018195,-0.74620586,1.56974912
4,0.429000,predator_1,predator,-0.00028140,-0.73657117,1.56764896
4,0.474000,predator_2,predator,0.54975159,-0.74566709,1.57009518
4,0.500000,prey_0,prey,-0.00022180,0.00358718,1.57262375
4,0.529000,predator_0,predator,-0.55018371,-0.74617393,1.56974202
4,0.529000,predator_1,predator,-0.00028320,-0.73645475,1.56762644
4,0.574000,predator_2,predator,0.54974977,-0.74563511,1.57009172
4,0.600000,prey_0,prey,-0.00022359,0.00361859,1.57264089
4,0.629000,predator_0,predator,-0.55018540,-0.74614200,1.56973464
4,0.629000,predator_1,predator,-0.00028478,-0.73634230,1.56760475
4,0.674000,predator_2,predator,0.54974798,-0.74560310,1.57008768
4,0.700000,prey_0,prey,-0.00022561,0.00364997,1.57265896
4,0.729000,predator_0,predator,-0.55018716,-0.74611007,1.56972748
4,0.729000,predator_1,predator,-0.00028669,-0.73623040,1.56758357
4,0.774000,predator_2,predator,0.54974619,-0.74557110,1.57008385
4,0.800000,prey_0,prey,-0.00022769,0.00368126,1.57267724
4,0.829000,predator_0,predator,-0.55018884,-0.74607814,1.56972012
4,0.829000,predator_1,predator,-0.00028849,-0.73611398,1.56756114
4,0.874000,predator_2,predator,0.54974440,-0.74553911,1.57007991
4,0.900000,prey_0,prey,-0.00022949,0.00371267,1.57269438
4,0.929000,predator_0,predator,-0.55019061,-0.74604621,1.56971307
4,0.929000,predator_1,predator,-0.00029007,-0.73600153,1.56753956
4,0.974000,predator_2,predator,0.54974262,-0.74550712,1.57007630
4,1.000000,prey_0,prey,-0.00023151,0.00374405,1.57271245
4,1.029000,predator_0,predator,-0.55019229,-0.74601428,1.56970565
4,1.029000,predator_1,predator,-0.00029197,-0.73588962,1.56751847
4,1.074000,predator_2,predator,0.54974079,-0.74547513,1.57007263
4,1.100000,prey_0,prey,-0.00023359,0.00377534,1.57273073
4,1.129000,predator_0,predator,-0.55019406,-0.74598236,1.56969869
4,1.129000,predator_1,predator,-0.00029377,-0.73577320,1.56749615
4,1.174000,predator_2,predator,0.54973899,-0.74544313,1.57006898
4,1.200000,prey_0,prey,-0.00023539,0.00380675,1.57274785
4,1.229000,predator_0,predator,-0.55019575,-0.74595043,1.56969131
4,1.229000,predator_1,predator,-0.00029535,-0.73566075,1.56747466
4,1.274000,predator_2,predator,0.54973721,-0.74541114,1.57006526
4,1.300000,prey_0,prey,-0.00023741,0.00383814,1.57276592
4,1.329000,predator_0,predator,-0.55019751,-0.74591850,1.56968426
4,1.329000,predator_1,predator,-0.00029725,-0.73554884,1.56745368
4,1.374000,predator_2,predator,0.54973540,-0.74537914,1.57006160
4,1.400000,prey_0,prey,-0.00023949,0.00386944,1.57278420
4,1.429000,predator_0,predator,-0.55019920,-0.74588657,1.56967699
4,1.429000,predator_1,predator,-0.00029904,-0.73543243,1.56743146
4,1.474000,predator_2,predator,0.54973360,-0.74534717,1.57005815
4,1.500000,prey_0,prey,-0.00024129,0.00390086,1.57280130
4,1.529000,predator_0,predator,-0.55020095,-0.74585464,1.56966990
4,1.529000,predator_1,predator,-0.00030062,-0.73531998,1.56741007
4,1.574000,predator_2,predator,0.54973181,-0.74531518,1.57005450
4,1.600000,prey_0,prey,-0.00024331,0.00393226,1.57281936
4,1.629000,predator_0,predator,-0.55020264,-0.74582271,1.56966261
4,1.629000,predator_1,predator,-0.00030252,-0.73520807,1.56738918
4,1.674000,predator_2,predator,0.54973001,-0.74528319,1.57005093
4,1.700000,prey_0,prey,-0.00024540,0.00396357,1.57283763
4,1.729000,predator_0,predator,-0.55020440,-0.74579079,1.56965565
4,1.729000,predator_1,predator,-0.00030431,-0.73509165,1.56736706
4,1.774000,predator_2,predator,0.54972822,-0.74525120,1.57004729
4,1.800000,prey_0,prey,-0.00024720,0.00399499,1.57285470
4,1.829000,predator_0,predator,-0.55020608,-0.74575886,1.56964829
4,1.829000,predator_1,predator,-0.00030589,-0.73497920,1.56734577
4,1.874000,predator_2,predator,0.54972643,-0.74521922,1.57004379
4,1.900000,prey_0,prey,-0.00024923,0.00402640,1.57287276
4,1.929000,predator_0,predator,-0.55020785,-0.74572693,1.56964142
4,1.929000,predator_1,predator,-0.00030779,-0.73486729,1.56732499
4,1.974000,predator_2,predator,0.54972465,-0.74518726,1.57004036
4,2.000000,prey_0,prey,-0.00025132,0.00405771,1.57289102
4,2.029000,predator_0,predator,-0.55020954,-0.74569500,1.56963414
4,2.029000,predator_1,predator,-0.00030958,-0.73475087,1.56730297
4,2.074000,predator_2,predator,0.54972282,-0.74515527,1.57003682
4,2.100000,prey_0,prey,-0.00025312,0.00408915,1.57290808
4,2.129000,predator_0,predator,-0.55021130,-0.74566308,1.56962713
4,2.129000,predator_1,predator,-0.00031115,-0.73463842,1.56728177
4,2.174000,predator_2,predator,0.54972104,-0.74512328,1.57003315
