episode,time_s,robot,role,x,y,yaw
7,0.000000,predator_2,predator,0.52813145,-0.60866452,-0.74044342
7,0.026000,prey_0,prey,0.00225262,0.00844711,1.71663989
7,0.055000,predator_0,predator,-0.55011801,-0.73754292,1.56870518
7,0.055000,predator_1,predator,-0.00016574,-0.74601320,1.57035910
7,0.100000,predator_2,predator,0.52806959,-0.60858919,-0.74042912
7,0.126000,prey_0,prey,0.00226523,0.00851927,1.71788698
7,0.155000,predator_0,predator,-0.55011922,-0.73743090,1.56868611
7,0.155000,predator_1,predator,-0.00016763,-0.74590078,1.57033368
7,0.200000,predator_2,predator,0.52800616,-0.60853081,-0.74049067
7,0.226000,prey_0,prey,0.00227772,0.00859144,1.71913437
7,0.255000,predator_0,predator,-0.55012033,-0.73731438,1.56866575
7,0.255000,predator_1,predator,-0.00016983,-0.74578892,1.57030883
7,0.300000,predator_2,predator,0.52794851,-0.60846186,-0.74049427
7,0.326000,prey_0,prey,0.00229010,0.00866361,1.72038208
7,0.355000,predator_0,predator,-0.55012126,-0.73720182,1.56864594
7,0.355000,predator_1,predator,-0.00017193,-0.74567253,1.57028265
7,0.400000,predator_2,predator,0.52789088,-0.60839423,-0.74050112
7,0.426000,prey_0,prey,0.00230237,0.00873578,1.72163009
7,0.455000,predator_0,predator,-0.55012247,-0.73708980,1.56862692
7,0.455000,predator_1,predator,-0.00017382,-0.74556012,1.57025734
7,0.500000,predator_2,predator,0.52782443,-0.60833278,-0.74054806
7,0.526000,prey_0,prey,0.00231453,0.00880796,1.72287843
7,0.555000,predator_0,predator,-0.55012358,-0.73697328,1.56860661
7,0.555000,predator_1,predator,-0.00017601,-0.74544825,1.57023261
7,0.600000,predator_2,predator,0.52776785,-0.60826188,-0.74057169
7,0.626000,prey_0,prey,0.00232657,0.00888015,1.72412708
7,0.655000,predator_0,predator,-0.55012451,-0.73686072,1.56858686
7,0.655000,predator_1,predator,-0.00017811,-0.74533187,1.57020654
7,0.700000,predator_2,predator,0.52770422,-0.60818403,-0.74051157
7,0.726000,prey_0,prey,0.00233850,0.00895234,1.72537605
7,0.755000,predator_0,predator,-0.55012572,-0.73674871,1.56856789
7,0.755000,predator_1,predator,-0.00017999,-0.74521946,1.57018134
7,0.800000,predator_2,predator,0.52763581,-0.60811286,-0.74054217
7,0.826000,prey_0,prey,0.00235032,0.00902454,1.72662536
7,0.855000,predator_0,predator,-0.55012684,-0.73663218,1.56854764
7,0.855000,predator_1,predator,-0.00018218,-0.74510758,1.57015672
7,0.900000,predator_2,predator,0.52757136,-0.60803399,-0.74047384
7,0.926000,prey_0,prey,0.00236203,0.00909675,1.72787499
7,0.955000,predator_0,predator,-0.55012778,-0.73651965,1.56852736
7,0.955000,predator_1,predator,-0.00018428,-0.74499120,1.57013077
7,1.000000,predator_2,predator,0.52751189,-0.60795662,-0.74046592
7,1.026000,prey_0,prey,0.00237362,0.00916895,1.72912497
7,1.055000,predator_0,predator,-0.55012904,-0.73640769,1.56850699
7,1.055000,predator_1,predator,-0.00018615,-0.74487879,1.57010569
7,1.100000,predator_2,predator,0.52743908,-0.60788502,-0.74044158
7,1.126000,prey_0,prey,0.00238510,0.00924117,1.73037528
7,1.155000,predator_0,predator,-0.55013020,-0.73629123,1.56848536
7,1.155000,predator_1,predator,-0.00018834,-0.74476692,1.57008118
7,1.200000,predator_2,predator,0.52738186,-0.60781748,-0.74045325
7,1.226000,prey_0,prey,0.00239647,0.00931339,1.73162594
7,1.255000,predator_0,predator,-0.55013117,-0.73617874,1.56846424
7,1.255000,predator_1,predator,-0.00019043,-0.74465054,1.57005534
7,1.300000,predator_2,predator,0.52732276,-0.60774850,-0.74046931
7,1.326000,prey_0,prey,0.00240773,0.00938561,1.73287695
7,1.355000,predator_0,predator,-0.55013243,-0.73606678,1.56844396
7,1.355000,predator_1,predator,-0.00019231,-0.74453812,1.57003036
7,1.400000,predator_2,predator,0.52725934,-0.60769011,-0.74053094
7,1.426000,prey_0,prey,0.00241887,0.00945784,1.73412831
7,1.455000,predator_0,predator,-0.55013358,-0.73595032,1.56842243
7,1.455000,predator_1,predator,-0.00019449,-0.74442625,1.57000596
7,1.500000,predator_2,predator,0.52720169,-0.60762115,-0.74053460
7,1.526000,prey_0,prey,0.00242990,0.00953008,1.73538003
7,1.555000,predator_0,predator,-0.55013455,-0.73583783,1.56840141
7,1.555000,predator_1,predator,-0.00019658,-0.74430987,1.56998024
7,1.600000,predator_2,predator,0.52714407,-0.60755351,-0.74054152
7,1.626000,prey_0,prey,0.00244081,0.00960232,1.73663211
7,1.655000,predator_0,predator,-0.55013580,-0.73572587,1.56838123
7,1.655000,predator_1,predator,-0.00019845,-0.74419745,1.56995537
7,1.700000,predator_2,predator,0.52707567,-0.60748234,-0.74057220
7,1.726000,prey_0,prey,0.00245161,0.00967457,1.73788456
7,1.755000,predator_0,predator,-0.55013696,-0.73560941,1.56835979
7,1.755000,predator_1,predator,-0.00020063,-0.74408558,1.56993109
7,1.800000,predator_2,predator,0.52701124,-0.60740346,-0.74050403
7,1.826000,prey_0,prey,0.00246230,0.00974682,1.73913738
7,1.855000,predator_0,predator,-0.55013792,-0.73549691,1.56833886
7,1.855000,predator_1,predator,-0.00020272,-0.74396920,1.56990547
7,1.900000,predator_2,predator,0.52695179,-0.60732609,-0.74049626
7,1.926000,prey_0,prey,0.00247288,0.00981908,1.74039058
7,1.955000,predator_0,predator,-0.55013917,-0.73538496,1.56831877
7,1.955000,predator_1,predator,-0.00020458,-0.74385678,1.56988072
7,2.000000,predator_2,predator,0.52687900,-0.60725448,-0.74047208
7,2.026000,prey_0,prey,0.00248333,0.00989135,1.74164416
7,2.055000,predator_0,predator,-0.55014032,-0.73526849,1.56829744
7,2.055000,predator_1,predator,-0.00020676,-0.74374491,1.56985654
7,2.100000,predator_2,predator,0.52681901,-0.60717604,-0.74045907
7,2.126000,prey_0,prey,0.00249368,0.00996362,1.74289812
7,2.155000,predator_0,predator,-0.55014128,-0.73515600,1.56827660
7,2.155000,predator_1,predator,-0.00020884,-0.74362852,1.56983104
7,2.200000,predator_2,predator,0.52675871,-0.60710576,-0.74043490
7,2.226000,prey_0,prey,0.00250391,0.01003589,1.74415248
7,2.255000,predator_0,predator,-0.55014253,-0.73504405,1.56825661
7,2.255000,predator_1,predator,-0.00021071,-0.74351611,1.56980639
7,2.300000,predator_2,predator,0.52669225,-0.60704433,-0.74048172
7,2.326000,prey_0,prey,0.00251403,0.01010818,1.74540722
7,2.355000,predator_0,predator,-0.55014368,-0.73492758,1.56823537
7,2.355000,predator_1,predator,-0.00021288,-0.74340423,1.56978233
7,2.400000,predator_2,predator,0.52663503,-0.60697679,-0.74049346
7,2.426000,prey_0,prey,0.00101809,0.01889739,1.74508833
7,2.455000,predator_0,predator,-0.55014464,-0.73481509,1.56821462
7,2.455000,predator_1,predator,-0.00021496,-0.74328785,1.56975694
7,2.500000,predator_2,predator,0.52657594,-0.60690779,-0.74050959
7,2.526000,prey_0,prey,-0.00070010,0.02865593,1.74517506
7,2.555000,predator_0,predator,-0.55014589,-0.73470313,1.56819473
7,2.555000,predator_1,predator,-0.00021682,-0.74317543,1.56973240
7,2.600000,predator_2,predator,0.52651252,-0.60684939,-0.74057128
7,2.626000,prey_0,prey,-0.00241914,0.03841431,1.74526349
7,2.655000,predator_0,predator,-0.55014703,-0.73458667,1.56817358
7,2.655000,predator_1,predator,-0.00021899,-0.74306356,1.56970844
7,2.700000,predator_2,predator,0.52645110,-0.60677294,-0.74053399
