episode,time_s,robot,role,x,y,yaw
2,0.000000,predator_0,predator,-0.55016686,-0.73720834,1.56811723
2,0.000000,predator_1,predator,-0.00029022,-0.74638307,1.57098589
2,0.045000,predator_2,predator,0.54996866,-0.75074915,1.56985921
2,0.071000,prey_0,prey,-0.00013165,0.01218412,1.56795731
2,0.100000,predator_0,predator,-0.55016808,-0.73709584,1.56809421
2,0.100000,predator_1,predator,-0.00029284,-0.74635022,1.57098569
2,0.145000,predator_2,predator,0.54996864,-0.75075896,1.56986197
2,0.171000,prey_0,prey,-0.00013328,0.01229607,1.56793532
2,0.200000,predator_0,predator,-0.55016962,-0.73698389,1.56807157
2,0.200000,predator_1,predator,-0.00029528,-0.74631735,1.57098561
2,0.245000,predator_2,predator,0.54996861,-0.75076838,1.56986484
2,0.271000,prey_0,prey,-0.00013481,0.01241253,1.56791215
2,0.300000,predator_0,predator,-0.55017107,-0.73686743,1.56804773
2,0.300000,predator_1,predator,-0.00029790,-0.74628449,1.57098531
2,0.345000,predator_2,predator,0.54996859,-0.75077738,1.56986770
2,0.371000,prey_0,prey,-0.00013611,0.01252502,1.56788989
2,0.400000,predator_0,predator,-0.55017228,-0.73675494,1.56802482
2,0.400000,predator_1,predator,-0.00030035,-0.74625163,1.57098526
2,0.445000,predator_2,predator,0.54996857,-0.75078720,1.56987047
2,0.471000,prey_0,prey,-0.00013774,0.01263697,1.56786800
2,0.500000,predator_0,predator,-0.55017382,-0.73664299,1.56800227
2,0.500000,predator_1,predator,-0.00030296,-0.74621877,1.57098496
2,0.545000,predator_2,predator,0.54996595,-0.75077391,1.56977707
2,0.571000,prey_0,prey,-0.00013926,0.01275343,1.56784493
2,0.600000,predator_0,predator,-0.55017526,-0.73652653,1.56797854
2,0.600000,predator_1,predator,-0.00030540,-0.74618591,1.57098483
2,0.645000,predator_2,predator,0.54996635,-0.75078292,1.56978377
2,0.671000,prey_0,prey,-0.00014056,0.01286593,1.56782277
2,0.700000,predator_0,predator,-0.55017647,-0.73641403,1.56795573
2,0.700000,predator_1,predator,-0.00030802,-0.74615304,1.57098455
2,0.745000,predator_2,predator,0.54996632,-0.75079273,1.56978655
2,0.771000,prey_0,prey,-0.00014219,0.01297788,1.56780099
2,0.800000,predator_0,predator,-0.55017801,-0.73630208,1.56793329
2,0.800000,predator_1,predator,-0.00031046,-0.74612018,1.57098438
2,0.845000,predator_2,predator,0.54996630,-0.75080214,1.56978944
